price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE
26000,2025 02 13T17:14:43.000Z,AIN TOUTA,BON TAT,INSPIRON,,INTEL CELERON,4GB,,500GB,17,,,
26000,2025 07 21T13:06:21.000Z,BIRKHADEM,,,,INTEL ATOM X5 Z8350,4GB,64GB,,11,,,
26000,2021 10 21T15:59:33.000Z,OUZELLAGUEN,,,,INTEL ATOM X5 Z8350,2GB,,32GB,14,,1920x1080,
26000,2021 11 16T18:59:12.000Z,BABA HASSEN,BON TAT,,,INTEL ATOM N450,1GB,,160GB,10.1,,,DDR2
26000,2025 07 03T12:09:15.000Z,CONSTANTINE,BON TAT,THINKPAD,,AMD RYZEN 5,8GB,256GB,,12.5,,,
26000,2025 07 21T08:16:12.000Z,BEN AKNOUN,BON TAT,,,7TH GEN INTEL CORE I3,4GB,256GB,,14,,,DDR4
26000,2024 10 12T00:41:59.000Z,HADJOUT,BON TAT,ASPIRE,,6TH GEN INTEL CORE I5 6200U,8GB,,470GB,15.6,,,
26000,2024 11 04T10:37:21.000Z,EZZOUAR,MOYEN,SPECTRE,,6TH GEN INTEL CORE I5 6200U,8GB,256GB,,13,,1920x1080 FHD,
26000,2025 03 24T07:20:44.000Z,OULED YAICH,BON TAT,PROBOOK,,3RD GEN INTEL CORE I3,4GB,500GB,,13.3,,,
26000,2024 12 10T09:05:18.000Z,OULED YAICH,BON TAT,VIVOBOOK,,3RD GEN INTEL CORE I3,4GB,,512GB,15,,,
25900,2025 07 31T13:32:03.000Z,BIRTOUTA,,DYNABOOK,,INTEL CORE I3 3320M,8GB,,500GB,17.3,,,
25500,2025 07 14T19:06:04.000Z,BOUARFA,,PAVILION,,INTEL CELERON,4GB,,1TB,17,,,DDR3
25000,2025 07 20T05:51:22.000Z,SOUIDANIA,,ASPIRE,,INTEL PENTIUM N3540,4GB,,500GB,15,,,
25000,2024 12 08T06:46:00.000Z,BOUINAN,BON TAT,DYNABOOK,,INTEL PENTIUM DUAL CORE T4500,3GB,,500GB,15.6,,1366x768,DDR3
25000,2021 07 19T22:47:49.000Z,EL HADJIRA,MOYEN,ASPIRE,,INTEL PENTIUM B960,4GB,,500GB,,,,
25000,2024 11 21T14:37:33.000Z,OUM EL BOUAGHI,MOYEN,ASPIRE,,INTEL PENTIUM B960,4GB,,,15.6,,,
25000,2022 06 26T06:38:53.000Z,SETIF,MOYEN,VIVOBOOK,,INTEL PENTIUM 987,4GB,,500GB,11.6,,1366x768,DDR3
25000,2025 06 27T16:39:40.000Z,BENI TAMOU,BON TAT,DYNABOOK,,INTEL PENTIUM 2020M,4GB,256GB,,14,,,
25000,2025 03 02T02:52:51.000Z,TIZI OUZOU,BON TAT,ASPIRE,,INTEL PENTIUM,8GB,256GB,,14,,,
25000,2024 08 26T10:57:08.000Z,EZZOUAR,,PAVILION,,INTEL PENTIUM,8GB,128GB,,14,,,
25000,2024 11 13T16:52:14.000Z,BORDJ BOU ARRERIDJ,BON TAT,MACBOOK,,INTEL CORE I7,6GB,,500GB,13,,,
25000,2025 02 15T08:10:04.000Z,EZZOUAR,MOYEN,PAVILION,,INTEL CORE I7,6GB,,,,,,
25000,2024 11 12T14:53:17.000Z,AKBOU,,ELITEBOOK,,INTEL CORE I5 VPRO,4GB,,300GB,,,,
25000,2025 05 27T10:27:39.000Z,OULED FAYET,BON TAT,THINKPAD,,INTEL CORE I5 4300U,8GB,256GB,,14,,,
25000,2025 01 24T07:41:31.000Z,MOSTAGANEM,BON TAT,GALAXY,,INTEL CORE I5 3317U,6GB,,487GB,,,,
25000,2024 09 26T12:43:05.000Z,BORDJ EL BAHRI,BON TAT,THINKPAD,,INTEL CORE I5 3230M,4GB,,512GB,14,,,
25000,2022 06 26T11:01:29.000Z,EL HARROUCH,BON TAT,LATITUDE,NVIDIA NVS 5200,INTEL CORE I5 3210M,4GB,,500GB,14,,,
25000,2024 09 03T23:43:02.000Z,DRARIA,BON TAT,,,INTEL CORE I5 2450M,8GB,,500GB,15.6,,1366x768,
25000,2025 08 02T13:09:17.000Z,LAGHOUAT,BON TAT,ASPIRE,,INTEL CORE I5,4GB,,500GB,15,,,
25000,2024 11 03T17:32:21.000Z,SAOULA,MOYEN,MACBOOK,,INTEL CORE I5,4GB,220GB,,13,,,
25000,2025 03 02T10:06:00.000Z,ORAN,MOYEN,MACBOOK,,INTEL CORE I5,4GB,256GB,,13,,,
25000,2024 10 20T08:06:08.000Z,EZZOUAR,MOYEN,MACBOOK,,INTEL CORE I5,4GB,128GB,,13,,,
25000,2025 07 25T11:08:35.000Z,KOUBA,,MAC,,INTEL CORE I5,8GB,128GB,,,,,
25000,2025 06 24T12:18:19.000Z,BIR EL DJIR,BON TAT,MACBOOK,,INTEL CORE I5,4GB,128GB,,11,,,
25000,2024 09 24T08:42:33.000Z,BOUIRA,BON TAT,LATITUDE,,INTEL CORE I5,4GB,,235GB,14,,,
25000,2025 07 18T23:03:58.000Z,HUSSEIN DEY,BON TAT,PAVILION,,INTEL CORE I5,6GB,,320GB,,,,
25000,2025 03 08T20:36:12.000Z,SAIDA,,,,INTEL CORE I5,4GB,,500GB,16,,,
25000,2024 12 12T12:35:31.000Z,BOUROUBA,,INSPIRON,,INTEL CORE I3 M380,6GB,,500GB,,,,
25000,2025 07 29T09:11:19.000Z,OULED FAYET,MOYEN,IDEAPAD,,INTEL CORE I3 6006U,8GB,256GB,,15.6,,1366x768,DDR4
25000,2025 08 10T07:16:12.000Z,ORAN,MOYEN,VIVOBOOK,,INTEL CORE I3 6006U,4GB,,500GB,14,,,
25000,2024 11 03T06:30:40.000Z,BOUARFA,BON TAT,PAVILION,,INTEL CORE I3 4005U,4GB,320GB,,15,,,
25000,2021 10 03T14:00:46.000Z,LARBAA,BON TAT,THINKPAD,,INTEL CORE I3 3110M,4GB,,500GB,15,,,
25000,2022 11 28T05:36:37.000Z,LAKHDARIA,BON TAT,,,INTEL CORE I3 2328M,6GB,,500GB,,,,
25000,2025 07 24T19:41:25.000Z,BISKRA,MOYEN,VIVOBOOK,NVIDIA GEFORCE GT 540,INTEL CORE I3 2120,4GB,,1TB,27,,1920x1080,
25000,2025 08 09T19:07:58.000Z,CHERCHELL,BON TAT,PROBOOK,,INTEL CORE I3 2.3GHZ,4GB,256GB,,15.6,,,
25000,2025 02 08T17:30:12.000Z,TIPAZA,BON TAT,PAVILION,,INTEL CORE I3,,,,15,,,
25000,2024 08 17T13:02:14.000Z,EL KHROUB,,PROBOOK,,INTEL CORE I3,4GB,,500GB,,,,
25000,2025 03 04T22:04:21.000Z,DOUERA,MOYEN,PAVILION,,INTEL CORE I3,4GB,256GB,,15,,,
25000,2025 08 10T13:47:17.000Z,ORAN,BON TAT,VIVOBOOK,,INTEL CORE I3,4GB,,1TB,,,,
25000,2025 01 21T17:44:23.000Z,AIN BENIAN,BON TAT,MACBOOK,,INTEL CORE 2 DUO,4GB,256GB,,13,,,
25000,2025 08 10T15:15:53.000Z,FOUKA,,VIVOBOOK,,INTEL CELERON N4020,4GB,256GB,,15.6,,,
25000,2024 12 11T18:32:02.000Z,EL KERMA,BON TAT,VIVOBOOK,,INTEL CELERON N4020,4GB,256GB,,14,,1920x1080 FHD,DDR4
25000,2025 05 11T14:13:59.000Z,SOUIDANIA,,INSPIRON,,INTEL CELERON N4000,4GB,,500GB,,,,
25000,2025 01 12T08:37:16.000Z,KOUBA,BON TAT,THINKPAD,,INTEL CELERON N3955U,8GB,128GB,,15.6,,,DDR3
25000,2025 07 11T21:00:12.000Z,OUM EL BOUAGHI,,VIVOBOOK,,INTEL CELERON N3350,4GB,64GB,,11.6,,1366x768,
25000,2024 10 08T16:02:42.000Z,BIRKHADEM,,YOGA,,INTEL CELERON N3160,4GB,128GB,,11,,,DDR3
25000,2024 09 12T16:50:16.000Z,EZZOUAR,,THINKPAD,,INTEL CELERON N3150,4GB,128GB,,,,,
25000,2025 07 19T14:01:39.000Z,BORDJ EL BAHRI,,INSPIRON,,INTEL CELERON N3060,4GB,,500GB,15.6,,,
25000,2025 08 02T00:55:52.000Z,CHLEF,,PAVILION,,INTEL CELERON N3060,2GB,64GB,,11.6,,,
25000,2025 07 29T16:27:37.000Z,ALGER CENTRE,,PAVILION,,INTEL CELERON N3060,4GB,,1TB,15.6,,1366x768,DDR3L
25000,2021 09 07T11:51:23.000Z,TEBESSA,,IDEAPAD,,INTEL CELERON N3060,4GB,,500GB,15,,,
25000,2025 06 18T15:43:00.000Z,TIMEZRIT,BON TAT,YOGA,,INTEL CELERON N3060,2GB,32GB,,,,,
25000,2025 06 04T11:41:36.000Z,BOU ISMAIL,BON TAT,ASPIRE,,INTEL CELERON N2840,4GB,,1TB,15.6,,,
25000,2021 10 31T18:52:42.000Z,OUED FODDA,MOYEN,ASPIRE,,INTEL CELERON N2840,4GB,,500GB,15,,,
25000,2024 11 29T18:21:00.000Z,ALGER CENTRE,,THINKPAD,,INTEL CELERON N2830,2GB,,500GB,11.6,,,
25000,2024 09 27T18:24:24.000Z,AIN OULMENE,BON TAT,ASPIRE,,INTEL CELERON 2957U,4GB,,500GB,15.4,,,
25000,2024 08 15T14:35:33.000Z,BARAKI,BON TAT,PAVILION,,INTEL CELERON,4GB,128GB,,,,,
25000,2021 09 25T08:16:12.000Z,BORDJ MENAIEL,MOYEN,,,INTEL CELERON,4GB,,,,,,
25000,2021 09 15T10:42:33.000Z,BORDJ EL KIFFAN,MOYEN,,,INTEL ATOM N450,1GB,250GB,,17,,,
25000,2025 01 11T19:39:19.000Z,BIRKHADEM,BON TAT,PAVILION,,AMD RADEON R2 CORE 2C,8GB,,500GB,15,,,
25000,2025 07 03T16:31:19.000Z,ALGER CENTRE,BON TAT,PAVILION,,AMD E2 9000E,4GB,,500GB,15,,,
25000,2024 09 20T20:37:33.000Z,EL AFFROUN,BON TAT,MACBOOK,,AMD A8 6410,4GB,500GB,,14,,,
25000,2025 05 24T07:35:21.000Z,ORAN,BON TAT,VIVOBOOK,,AMD A6 7310,8GB,255GB,,15,,,
25000,2022 08 19T06:15:06.000Z,SIDI MOUSSA,,ALIENWARE,NVIDIA GEFORCE RTX 2080,9TH GEN INTEL CORE I9 9980HK,16GB,2000GB,,15.6,,,
